"filename", "language", "Markdown", "YAML", "Properties", "Swift", "Shell Script", "C++", "JavaScript", "Dart", "Java", "Objective-C", "Gradle", "XML", "JSON", "Rust", "Ruby", "C", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\test\circular_inkwell_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -72, 0, 0, 0, 0, 0, 0, 0, 0, -13, -14, -99
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -3, -4, -24
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\android\local.properties", "Properties", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\ios\Flutter\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -14
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\ios\Runner\GeneratedPluginRegistrant.h", "C++", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -20
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\ios\Runner\GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -4, -6, -15
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\lib\clipped_icon.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\lib\src\clip_direction.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\lib\src\clipped_icon.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -29
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\lib\src\clipper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -33
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -11
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\macos\Flutter\ephemeral\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -13
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\pubspec.yaml", "YAML", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -8, -55
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\clipped_icon\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\colourful_print\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\colourful_print\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\colourful_print\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\colourful_print\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -3, -4, -24
"c:\Users\acer\workspace1\langtube\packages\colourful_print\android\local.properties", "Properties", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\acer\workspace1\langtube\packages\colourful_print\ios\Flutter\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -14
"c:\Users\acer\workspace1\langtube\packages\colourful_print\ios\Runner\GeneratedPluginRegistrant.h", "C++", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -20
"c:\Users\acer\workspace1\langtube\packages\colourful_print\ios\Runner\GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -4, -6, -15
"c:\Users\acer\workspace1\langtube\packages\colourful_print\lib\colourful_print.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -8
"c:\Users\acer\workspace1\langtube\packages\colourful_print\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\colourful_print\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\colourful_print\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -11
"c:\Users\acer\workspace1\langtube\packages\colourful_print\macos\Flutter\ephemeral\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -13
"c:\Users\acer\workspace1\langtube\packages\colourful_print\pubspec.yaml", "YAML", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -8, -55
"c:\Users\acer\workspace1\langtube\packages\colourful_print\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\colourful_print\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\core_utils\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\core_utils\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\core_utils\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\core_utils\lib\core_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\acer\workspace1\langtube\packages\core_utils\lib\src\bool_to_int.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\acer\workspace1\langtube\packages\core_utils\lib\src\capitalization.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"c:\Users\acer\workspace1\langtube\packages\core_utils\lib\src\int_to_bool.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"c:\Users\acer\workspace1\langtube\packages\core_utils\pubspec.yaml", "YAML", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -8, -55
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -3, -4, -24
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\android\local.properties", "Properties", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\ios\Flutter\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -14
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\ios\Runner\GeneratedPluginRegistrant.h", "C++", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -20
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\ios\Runner\GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -4, -6, -15
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\lib\curved_bottom_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\lib\src\bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -56, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -59
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\lib\src\painter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -46
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -11
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\macos\Flutter\ephemeral\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -13
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\pubspec.yaml", "YAML", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -8, -55
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\curved_bottom_bar\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\dio_api_client\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\dio_api_client\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\dio_api_client\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\dio_api_client\lib\dio_api_client.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\acer\workspace1\langtube\packages\dio_api_client\lib\src\api_client.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -38
"c:\Users\acer\workspace1\langtube\packages\dio_api_client\pubspec.yaml", "YAML", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -8, -59
"c:\Users\acer\workspace1\langtube\packages\dio_api_client\test\cache_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -27
"c:\Users\acer\workspace1\langtube\packages\languages\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\languages\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\languages\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
