"filename", "language", "Dart", "YAML", "Markdown", "Rust", "C", "Ruby", "C++", "JSON", "Swift", "XML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, -49, 0, 0, 0, 0, 0, -7, -16, -72
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -5, -9, -34
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, -4, -10, -44
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -6, -2, -17
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, -54, 0, 0, 0, 0, 0, -2, -10, -66
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -6, -6, -20
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, -210, 0, 0, 0, 0, 0, -24, -55, -289
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, -31, -24, -103
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\ffigen.yaml", "YAML", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -9
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\ios\Classes\subtitles_parserr.c", "C", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -2, -1, -4
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\ios\subtitles_parserr.podspec", "Ruby", 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, -9, -3, -29
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\lib\subtitles_parser.dart", "Dart", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\pubspec.yaml", "YAML", 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -44, -8, -81
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\api.rs", "Rust", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -71
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\api\data.rs", "Rust", 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -45
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\api\logger.rs", "Rust", 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -31
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\api\regex.rs", "Rust", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -13
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\bridge_generated.io.rs", "Rust", 0, 0, 0, -47, 0, 0, 0, 0, 0, 0, 0, 0, -7, -14, -68
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\bridge_generated.rs", "Rust", 0, 0, 0, -87, 0, 0, 0, 0, 0, 0, 0, 0, -11, -18, -116
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\lib.rs", "Rust", 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\test\subtitles.dart", "Dart", -311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -316
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\test\subtitles_parser_test.dart", "Dart", -105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -19, -134
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\test\test_rust_bridge\api.dart", "Dart", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -11
"Total", "-", -494, -57, -81, -270, -1, -17, -437, -145, -19, -123, -157, -9, -330, -375, -2515
