Date : 2023-10-27 17:27:13
Directory : c:\Users\acer\workspace1\langtube\packages\subtitles_parser
Total : 62 files,  2121 codes, 353 comments, 455 blanks, all 2929 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\lib\main.dart                                                 | Dart       |         70 |          0 |          9 |         79 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\pubspec.yaml                                                  | YAML       |         18 |         65 |         15 |         98 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\flutter\generated_plugin_registrant.cc                | C++        |          3 |          4 |          5 |         12 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\ffigen.yaml                                                           | YAML       |          6 |          1 |          2 |          9 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\ios\Classes\subtitles_parserr.c                                       | C          |          1 |          2 |          1 |          4 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\ios\subtitles_parserr.podspec                                         | Ruby       |         17 |          9 |          3 |         29 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\lib\src\duration_sanitizer.dart                                       | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\lib\src\parser.dart                                                   | Dart       |         14 |          0 |          4 |         18 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\lib\src\rust_bridge\api.dart                                          | Dart       |         16 |          4 |          8 |         28 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\lib\src\rust_bridge\bridge_generated.dart                             | Dart       |        225 |         19 |         54 |        298 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\lib\src\rust_bridge\duration_converter.dart                           | Dart       |          4 |          0 |          2 |          6 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\lib\src\rust_bridge\parsed_subtitle.dart                              | Dart       |         39 |          0 |          9 |         48 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\lib\subtitles_parser.dart                                             | Dart       |          2 |          0 |          1 |          3 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\pubspec.yaml                                                          | YAML       |         29 |         44 |          8 |         81 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\api.rs                                                       | Rust       |         58 |          0 |         13 |         71 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\api\data.rs                                                  | Rust       |         38 |          0 |          7 |         45 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\api\logger.rs                                                | Rust       |         27 |          0 |          4 |         31 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\api\regex.rs                                                 | Rust       |         11 |          0 |          2 |         13 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\bridge_generated.io.rs                                       | Rust       |         47 |          7 |         14 |         68 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\bridge_generated.rs                                          | Rust       |         87 |         11 |         18 |        116 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\rust\src\lib.rs                                                       | Rust       |          2 |          0 |          0 |          2 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\test\subtitles.dart                                                   | Dart       |        311 |          0 |          5 |        316 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\test\subtitles_parser_test.dart                                       | Dart       |        105 |         10 |         19 |        134 |
| c:\Users\acer\workspace1\langtube\packages\subtitles_parser\test\test_rust_bridge\api.dart                                        | Dart       |          6 |          0 |          5 |         11 |
| Total                                                                                                                             |            |      2,121 |        353 |        455 |      2,929 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
