"filename", "language", "Batch", "Markdown", "Dart", "JavaScript", "YAML", "Shell Script", "Rust", "JSON", "vue", "HTML", "CSS", "XML", "pip requirements", "Python", "Properties", "Makefile", "C", "Ruby", "C++", "Swift", "Gradle", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\readability\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\acer\workspace1\langtube\packages\readability\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\acer\workspace1\langtube\packages\readability\example\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\acer\workspace1\langtube\packages\readability\example\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\acer\workspace1\langtube\packages\readability\example\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\acer\workspace1\langtube\packages\readability\example\lib\main.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 61
"c:\Users\acer\workspace1\langtube\packages\readability\example\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 5, 12
"c:\Users\acer\workspace1\langtube\packages\readability\example\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 16
"c:\Users\acer\workspace1\langtube\packages\readability\example\linux\main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\acer\workspace1\langtube\packages\readability\example\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 11, 20, 105
"c:\Users\acer\workspace1\langtube\packages\readability\example\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 5, 19
