"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\lib\video_recommendations.dart\providers\recommendations_manager\actions_handler.dart", "Dart", 75, 1, 9, 85
"c:\Users\acer\workspace1\langtube\lib\video_recommendations.dart\providers\recommendations_manager\manager.dart", "Dart", 47, 0, 5, 52
"c:\Users\acer\workspace1\langtube\lib\video_recommendations.dart\providers\recommendations_manager\recommendations_collector.dart", "Dart", 80, 0, 6, 86
"c:\Users\acer\workspace1\langtube\lib\video_recommendations.dart\providers\recommendations_manager\recommendations_state.dart", "Dart", 8, 0, 1, 9
"c:\Users\acer\workspace1\langtube\lib\video_recommendations.dart\providers\recommendations_manager\recommendations_state_notifier.dart", "Dart", 42, 0, 7, 49
"Total", "-", 252, 1, 28, 281
