"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\readability\rust\src\api.rs", "Rust", -10, 0, -3, -13
"c:\Users\acer\workspace1\langtube\packages\readability\rust\src\bridge_generated.io.rs", "Rust", -56, -7, -15, -78
"c:\Users\acer\workspace1\langtube\packages\readability\rust\src\bridge_generated.rs", "Rust", -73, -11, -16, -100
"c:\Users\acer\workspace1\langtube\packages\readability\rust\src\lib.rs", "Rust", -2, 0, -1, -3
"Total", "-", -141, -18, -35, -194
